iter	Passed	Remaining
258	10843	31022
259	10887	30987
260	10927	30939
261	10965	30886
262	11004	30838
263	11042	30785
264	11082	30738
265	11123	30694
266	11166	30656
267	11209	30617
268	11246	30562
269	11287	30518
270	11326	30468
271	11364	30417
272	11405	30372
273	11446	30328
274	11488	30288
275	11529	30245
276	11568	30196
277	11607	30146
278	11649	30104
279	11686	30050
280	11725	30002
281	11766	29957
282	11804	29907
283	11844	29861
284	11884	29816
285	11928	29779
286	11968	29732
287	12006	29681
288	12045	29633
289	12084	29585
290	12126	29544
291	12165	29498
292	12206	29454
293	12261	29443
294	12311	29423
295	12348	29369
296	12388	29324
297	12432	29287
298	12474	29245
299	12513	29198
300	12550	29146
301	12593	29107
302	12636	29068
303	12678	29026
304	12719	28982
305	12757	28932
306	12795	28884
307	12827	28820
308	12871	28783
309	12916	28748
310	12952	28695
311	12992	28649
312	13034	28608
313	13074	28564
314	13115	28521
315	13154	28473
316	13191	28422
317	13232	28380
318	13267	28322
319	13307	28277
320	13347	28232
321	13385	28184
322	13422	28133
323	13463	28091
324	13502	28043
325	13539	27992
326	13575	27939
327	13616	27898
328	13659	27858
329	13700	27815
330	13737	27764
331	13775	27717
332	13818	27678
333	13858	27634
334	13899	27591
335	13942	27553
336	13979	27503
337	14014	27449
338	14056	27407
339	14095	27361
340	14132	27312
341	14176	27275
342	14215	27229
343	14252	27179
344	14292	27134
345	14330	27086
346	14366	27035
347	14405	26988
348	14447	26949
349	14489	26908
350	14527	26862
351	14571	26825
352	14607	26773
353	14650	26734
354	14695	26701
355	14735	26656
356	14780	26621
357	14821	26580
358	14859	26532
359	14904	26497
360	14944	26453
361	14983	26407
362	15023	26363
363	15065	26323
364	15107	26282
365	15142	26231
366	15180	26183
367	15220	26140
368	15261	26097
369	15304	26059
370	15344	26015
371	15384	25971
372	15431	25940
373	15472	25897
374	15511	25852
375	15554	25813
376	15596	25773
377	15634	25726
378	15675	25684
379	15728	25662
380	15761	25606
381	15803	25566
382	15839	25516
383	15875	25467
384	15919	25430
385	15961	25388
386	16002	25348
387	16046	25310
388	16092	25276
389	16134	25235
390	16172	25189
391	16214	25148
392	16247	25095
393	16283	25044
394	16325	25004
395	16365	24961
396	16401	24912
397	16444	24873
398	16486	24833
399	16528	24792
400	16569	24750
401	16617	24720
402	16660	24680
403	16701	24639
404	16755	24616
405	16839	24636
406	16883	24599
407	16927	24560
408	16962	24511
409	17004	24470
410	17043	24424
411	17088	24388
412	17129	24346
413	17169	24303
414	17210	24260
415	17253	24221
416	17293	24177
417	17336	24137
418	17376	24095
419	17413	24047
420	17456	24007
421	17496	23964
422	17536	23921
423	17576	23877
424	17618	23837
425	17657	23792
426	17703	23756
427	17747	23718
428	17786	23673
429	17825	23629
430	17865	23585
431	17900	23535
432	17938	23490
433	17975	23442
434	18019	23404
435	18059	23361
436	18102	23321
437	18146	23283
438	18189	23244
439	18229	23200
440	18273	23162
441	18312	23118
442	18355	23078
443	18396	23037
444	18439	22997
445	18480	22956
446	18522	22914
447	18565	22874
448	18606	22833
449	18650	22794
450	18693	22754
451	18735	22715
452	18779	22675
453	18823	22638
454	18861	22591
455	18900	22548
456	18939	22503
457	18984	22466
458	19025	22424
459	19071	22387
460	19116	22350
461	19158	22309
462	19200	22268
463	19239	22225
464	19281	22184
465	19325	22145
466	19367	22104
467	19406	22060
468	19446	22016
469	19489	21977
470	19523	21928
471	19564	21885
472	19602	21840
473	19645	21800
474	19684	21756
475	19732	21722
476	19770	21677
477	19808	21631
478	19852	21593
479	19893	21550
480	19933	21507
481	19974	21466
482	20012	21421
483	20053	21379
484	20098	21341
485	20143	21304
486	20184	21261
487	20224	21219
488	20265	21177
489	20348	21178
490	20403	21151
491	20440	21105
492	20482	21064
493	20528	21027
494	20571	20986
495	20635	20968
496	20679	20929
497	20726	20892
498	20764	20847
499	20807	20807
500	20848	20764
501	20889	20723
502	20927	20677
503	20966	20633
504	21004	20588
505	21045	20546
506	21087	20505
507	21129	20464
508	21170	20422
509	21213	20381
510	21251	20336
511	21289	20291
512	21335	20254
513	21377	20213
514	21421	20173
515	21459	20128
516	21496	20083
517	21541	20044
518	21574	19994
519	21613	19950
520	21652	19907
521	21693	19864
522	21737	19825
523	21776	19781
524	21813	19736
525	21856	19696
526	21897	19653
527	21944	19617
528	21986	19576
529	22034	19540
530	22082	19504
531	22127	19465
532	22169	19424
533	22209	19381
534	22249	19338
535	22289	19295
536	22332	19255
537	22377	19216
538	22421	19176
539	22465	19136
540	22506	19095
541	22548	19053
542	22583	19006
543	22627	18967
544	22670	18927
545	22713	18886
546	22749	18840
547	22790	18797
548	22829	18754
549	22870	18711
550	22913	18671
551	22954	18629
552	22996	18588
553	23039	18547
554	23078	18504
555	23119	18462
556	23161	18420
557	23198	18376
558	23239	18334
559	23284	18295
560	23333	18259
561	23372	18215
562	23414	18174
563	23456	18132
564	23489	18084
565	23527	18040
566	23568	17998
567	23609	17956
568	23651	17915
569	23687	17869
570	23730	17828
571	23770	17786
572	23814	17746
573	23897	17735
574	23940	17694
575	23981	17653
576	24027	17614
577	24070	17573
578	24109	17530
579	24151	17489
580	24194	17448
581	24238	17408
582	24279	17366
583	24324	17326
584	24365	17284
585	24401	17239
586	24442	17197
587	24483	17155
588	24526	17114
589	24565	17070
590	24607	17029
591	24647	16986
592	24683	16941
593	24728	16902
594	24771	16861
595	24810	16817
596	24849	16774
597	24888	16731
598	24925	16686
599	24965	16643
600	25007	16602
601	25050	16561
602	25091	16519
603	25135	16479
604	25173	16435
605	25211	16391
606	25251	16348
607	25288	16304
608	25332	16264
609	25370	16220
610	25409	16177
611	25451	16136
612	25494	16095
613	25537	16054
614	25595	16023
615	25644	15986
616	25688	15945
617	25728	15903
618	25770	15862
619	25809	15818
620	25849	15776
621	25888	15732
622	25927	15689
623	25968	15647
624	26008	15604
625	26044	15560
626	26087	15519
627	26129	15478
628	26180	15441
629	26220	15399
630	26264	15359
631	26307	15318
632	26347	15275
633	26392	15235
634	26433	15193
635	26475	15152
636	26532	15119
637	26577	15079
638	26620	15038
639	26658	14995
640	26702	14954
641	26747	14915
642	26789	14873
643	26832	14832
644	26868	14788
645	26909	14746
646	26948	14702
647	26987	14659
648	27031	14619
649	27079	14581
650	27118	14538
651	27163	14498
652	27203	14455
653	27249	14416
654	27295	14377
655	27339	14336
656	27384	14296
657	27430	14257
658	27513	14237
659	27551	14193
660	27593	14151
661	27636	14110
662	27680	14069
663	27714	14024
664	27755	13982
665	27798	13941
666	27842	13900
667	27886	13859
668	27922	13814
669	27961	13772
670	28009	13733
671	28050	13691
672	28091	13649
673	28133	13607
674	28174	13565
675	28216	13523
676	28255	13480
677	28298	13439
678	28340	13398
679	28387	13358
680	28430	13317
681	28471	13275
682	28509	13232
683	28555	13192
684	28597	13150
685	28636	13107
686	28683	13068
687	28726	13027
688	28768	12985
689	28812	12944
690	28851	12901
691	28894	12860
692	28937	12819
693	28977	12777
694	29017	12734
695	29064	12694
696	29111	12655
697	29151	12613
698	29191	12570
699	29232	12528
700	29274	12486
701	29316	12444
702	29360	12404
703	29405	12363
704	29452	12323
705	29506	12287
706	29552	12247
707	29593	12205
708	29634	12163
709	29676	12121
710	29712	12077
711	29756	12036
712	29797	11994
713	29839	11952
714	29881	11910
715	29922	11868
716	29959	11825
717	30004	11784
718	30042	11741
719	30082	11698
720	30120	11655
721	30164	11614
722	30207	11573
723	30247	11530
724	30287	11488
725	30331	11447
726	30371	11404
727	30414	11363
728	30453	11321
729	30493	11278
730	30537	11237
731	30580	11195
732	30618	11152
733	30654	11109
734	30693	11066
735	30738	11025
736	30778	10983
737	30819	10941
738	30860	10899
739	30900	10856
740	30940	10814
741	30984	10773
742	31026	10731
743	31067	10689
744	31109	10648
745	31149	10605
746	31186	10562
747	31228	10520
748	31271	10479
749	31305	10435
750	31349	10394
751	31392	10352
752	31432	10310
753	31476	10269
754	31515	10226
755	31555	10184
756	31597	10143
757	31636	10100
758	31678	10058
759	31718	10016
760	31760	9974
761	31799	9932
762	31836	9889
763	31877	9847
764	31919	9805
765	31958	9762
766	31999	9720
767	32045	9680
768	32085	9638
769	32125	9596
770	32168	9554
771	32212	9513
772	32256	9472
773	32298	9430
774	32341	9389
775	32378	9346
776	32423	9305
777	32462	9263
778	32502	9220
779	32544	9179
780	32582	9136
781	32623	9094
782	32663	9052
783	32706	9011
784	32748	8969
785	32785	8926
786	32828	8884
787	32870	8843
788	32912	8801
789	32955	8760
790	32996	8718
791	33035	8675
792	33077	8634
793	33115	8591
794	33188	8558
795	33229	8516
796	33266	8473
797	33311	8432
798	33351	8390
799	33395	8348
800	33432	8305
801	33471	8263
802	33516	8222
803	33596	8190
804	33640	8148
805	33682	8107
806	33719	8064
807	33764	8023
808	33800	7980
809	33840	7937
810	33886	7897
811	33930	7855
812	33969	7813
813	34008	7771
814	34049	7729
815	34089	7686
816	34127	7644
817	34168	7602
818	34209	7560
819	34247	7517
820	34288	7475
821	34331	7434
822	34368	7391
823	34408	7349
824	34450	7307
825	34487	7264
826	34530	7223
827	34570	7181
828	34613	7139
829	34655	7098
830	34698	7056
831	34733	7013
832	34776	6972
833	34817	6930
834	34854	6887
835	34899	6846
836	34938	6804
837	34975	6761
838	35014	6719
839	35055	6677
840	35094	6634
841	35129	6592
842	35166	6549
843	35206	6507
844	35249	6465
845	35289	6423
846	35326	6381
847	35367	6339
848	35408	6297
849	35447	6255
850	35490	6213
851	35528	6171
852	35570	6129
853	35608	6087
854	35650	6045
855	35687	6003
856	35730	5962
857	35771	5920
858	35809	5877
859	35852	5836
860	35890	5794
861	35929	5752
862	35972	5710
863	36010	5668
864	36055	5627
865	36095	5585
866	36133	5543
867	36178	5501
868	36217	5459
869	36256	5417
870	36300	5376
871	36346	5335
872	36386	5293
873	36425	5251
874	36464	5209
875	36506	5167
876	36546	5125
877	36590	5084
878	36633	5042
879	36673	5000
880	36712	4958
881	36755	4917
882	36791	4875
883	36845	4834
884	36904	4795
885	36948	4754
886	36993	4712
887	37040	4671
888	37082	4630
889	37124	4588
890	37163	4546
891	37206	4504
892	37245	4462
893	37285	4420
894	37324	4378
895	37365	4337
896	37406	4295
897	37444	4253
898	37487	4211
899	37529	4169
900	37564	4127
901	37605	4085
902	37647	4044
903	37687	4002
904	37731	3960
905	37771	3918
906	37809	3876
907	37851	3835
908	37891	3793
909	37934	3751
910	37978	3710
911	38021	3668
912	38061	3626
913	38101	3585
914	38142	3543
915	38180	3501
916	38225	3459
917	38267	3418
918	38309	3376
919	38346	3334
920	38388	3292
921	38432	3251
922	38472	3209
923	38508	3167
924	38550	3125
925	38589	3083
926	38628	3041
927	38670	3000
928	38710	2958
929	38752	2916
930	38791	2874
931	38827	2832
932	38867	2791
933	38904	2749
934	38946	2707
935	38984	2665
936	39024	2623
937	39067	2582
938	39103	2540
939	39146	2498
940	39225	2459
941	39263	2417
942	39305	2375
943	39344	2334
944	39389	2292
945	39429	2250
946	39469	2208
947	39509	2167
948	39548	2125
949	39581	2083
950	39624	2041
951	39664	1999
952	39701	1957
953	39742	1916
954	39784	1874
955	39825	1832
956	39872	1791
957	39909	1749
958	39944	1707
959	39986	1666
960	40026	1624
961	40064	1582
962	40108	1541
963	40145	1499
964	40185	1457
965	40227	1415
966	40270	1374
967	40312	1332
968	40354	1291
969	40397	1249
970	40437	1207
971	40479	1166
972	40522	1124
973	40563	1082
974	40601	1041
975	40637	999
976	40671	957
977	40711	915
978	40750	874
979	40791	832
980	40833	790
981	40874	749
982	40916	707
983	40953	665
984	40994	624
985	41034	582
986	41077	541
987	41117	499
988	41159	457
989	41198	416
990	41242	374
991	41286	332
992	41327	291
993	41368	249
994	41413	208
995	41455	166
996	41500	124
997	41548	83
998	41595	41
999	41638	0
