iter	RMSE
370	0.8859426821
371	0.885894743
372	0.8858281674
373	0.8857817124
374	0.8857487962
375	0.8856752619
376	0.8856249609
377	0.8855912305
378	0.8855478194
379	0.8853885142
380	0.8853386013
381	0.8852796904
382	0.8852657736
383	0.8852294559
384	0.8851619892
385	0.8849967885
386	0.8849890904
387	0.8849165002
388	0.8848427081
389	0.8847575311
390	0.8847196853
391	0.8846545933
392	0.8846485588
393	0.884633044
394	0.8845794449
395	0.8845347994
396	0.8845281119
397	0.884454071
398	0.8843876568
399	0.8842563959
400	0.8841953783
401	0.8838746099
402	0.8838107401
403	0.8837779673
404	0.8837028177
405	0.883645576
406	0.8835782677
407	0.883536552
408	0.8835321664
409	0.8834731166
410	0.8834514247
411	0.8834122361
412	0.8833641553
413	0.8831824028
414	0.8831337878
415	0.8831044637
416	0.8830903843
417	0.8830750828
418	0.883031489
419	0.8829781026
420	0.8829563824
421	0.8829131231
422	0.8828821356
423	0.8828500531
424	0.8828151208
425	0.8827796697
426	0.8827490327
427	0.8826771918
428	0.8826674847
429	0.8826287573
430	0.8826220505
431	0.882618659
432	0.8825844799
433	0.8825742564
434	0.8825131741
435	0.8824781922
436	0.8824119884
437	0.8823558519
438	0.8822940596
439	0.8822609536
440	0.8821889377
441	0.8821369041
442	0.8820686337
443	0.8819750496
444	0.8819304709
445	0.8819150184
446	0.8818564549
447	0.8817727491
448	0.8817245882
449	0.881642384
450	0.8815609017
451	0.881511927
452	0.8812905566
453	0.8811835851
454	0.8811312793
455	0.8810931127
456	0.8810460335
457	0.8809842127
458	0.880936726
459	0.8808862591
460	0.8808447562
461	0.8808117908
462	0.8807704551
463	0.8807213015
464	0.8806907706
465	0.8806244671
466	0.8805765891
467	0.8805636444
468	0.8805272684
469	0.8804781916
470	0.8804679472
471	0.8804268378
472	0.8803830955
473	0.8803419209
474	0.8802967282
475	0.8801658631
476	0.8801600146
477	0.8801388615
478	0.8800850113
479	0.8800297134
480	0.8800036245
481	0.8799659745
482	0.8799337937
483	0.8798672382
484	0.8798120718
485	0.8797627512
486	0.8797328529
487	0.8796987114
488	0.8796368427
489	0.8795801104
490	0.8795440868
491	0.8795373839
492	0.8794941454
493	0.8794204066
494	0.879259617
495	0.8792287024
496	0.8791585132
497	0.8790888221
498	0.8790735524
499	0.8790254245
500	0.8789596302
501	0.8789191232
502	0.8788762246
503	0.8787950833
504	0.878770731
505	0.878741223
506	0.8787050173
507	0.8786635031
508	0.8786192082
509	0.8785961087
510	0.878568265
511	0.8785501277
512	0.8785033524
513	0.8784754676
514	0.8784202711
515	0.8784021658
516	0.8783686525
517	0.878080511
518	0.8780175384
519	0.8779901926
520	0.8779668233
521	0.8779469784
522	0.8779018117
523	0.8778790634
524	0.8778345171
525	0.8777840568
526	0.8777491374
527	0.8777039615
528	0.8776822934
529	0.8776438756
530	0.8775883291
531	0.8775343223
532	0.8775008532
533	0.877447761
534	0.8774209898
535	0.8773889991
536	0.8773443809
537	0.8773079342
538	0.87724466
539	0.8771616238
540	0.8771346563
541	0.8770307997
542	0.8769909424
543	0.876971557
544	0.8769013342
545	0.8768414797
546	0.8767933196
547	0.87676704
548	0.8767263639
549	0.8766643472
550	0.8766108431
551	0.8765674992
552	0.8765212025
553	0.8764833232
554	0.8764575813
555	0.8764052953
556	0.8763726415
557	0.8763522887
558	0.8762808176
559	0.8762520071
560	0.8762149441
561	0.8761978622
562	0.8761425015
563	0.876106109
564	0.8760886493
565	0.8760739611
566	0.8760426307
567	0.8759759374
568	0.8759402208
569	0.8759055687
570	0.8758806014
571	0.8758069502
572	0.8757298843
573	0.875676031
574	0.8755067371
575	0.8754908615
576	0.8753393953
577	0.8753001761
578	0.8752645483
579	0.8752209244
580	0.875195746
581	0.8750990315
582	0.8750790639
583	0.8750297184
584	0.87495246
585	0.874923459
586	0.8749105236
587	0.8748539514
588	0.8747847609
589	0.8747306538
590	0.8746803908
591	0.8746516862
592	0.874646141
593	0.8745925806
594	0.8745349462
595	0.8745041946
596	0.8744779681
597	0.874444304
598	0.8744248574
599	0.8743827442
600	0.8743436361
601	0.8742767086
602	0.8742407896
603	0.8741992803
604	0.8741542698
605	0.8740388931
606	0.8740018561
607	0.8739718878
608	0.8739191872
609	0.8738642423
610	0.8738320431
611	0.8738173448
612	0.8736870052
613	0.8736378351
614	0.8735881468
615	0.8735565907
616	0.8735326527
617	0.8734699968
618	0.8734388688
619	0.8733942201
620	0.8733544234
621	0.8733220209
622	0.8732944433
623	0.8732491682
624	0.8732096707
625	0.8731779408
626	0.8731213262
627	0.873074595
628	0.8730313994
629	0.8730177563
630	0.8729682026
631	0.872941059
632	0.8729229896
633	0.87284867
634	0.8728281461
635	0.8727783804
636	0.8727219934
637	0.8726838102
638	0.8726668328
639	0.8726570282
640	0.8726348303
641	0.8725902034
642	0.8725419824
643	0.8724902415
644	0.8724552798
645	0.8724201901
646	0.8723268033
647	0.8722917871
648	0.8722427401
649	0.8721927573
650	0.8721683343
651	0.8720630038
652	0.8720329891
653	0.8720041409
654	0.8719308034
655	0.87188431
656	0.87182725
657	0.8717760868
658	0.8717145212
659	0.8716838434
660	0.8716534551
661	0.8715935818
662	0.8715724291
663	0.8715604253
664	0.8714901894
665	0.871434257
666	0.8714022051
667	0.8713651578
668	0.8713336794
669	0.871315639
670	0.8711497323
671	0.8711187621
672	0.8710909605
673	0.8710382775
674	0.8709992986
675	0.8709584928
676	0.8709215227
677	0.8708671311
678	0.8708041381
679	0.8707456901
680	0.8706884844
681	0.8706259199
682	0.8706022277
683	0.8705085815
684	0.8704783272
685	0.8704461338
686	0.8703867702
687	0.8703420238
688	0.8703089503
689	0.8702726184
690	0.8702578799
691	0.8702367486
692	0.870201282
693	0.8701762439
694	0.8701195934
695	0.8700973689
696	0.8700722085
697	0.8700431342
698	0.8700385637
699	0.870022021
700	0.8699896057
701	0.8699573592
702	0.8699188857
703	0.8698639173
704	0.8698028511
705	0.8697268346
706	0.8697104359
707	0.8696719299
708	0.8696445546
709	0.8695804861
710	0.8695622362
711	0.8695313893
712	0.8694920735
713	0.8694642033
714	0.8694405829
715	0.8694124552
716	0.869387822
717	0.8693262058
718	0.8692931866
719	0.8692631552
720	0.8692415364
721	0.8692183162
722	0.8691858378
723	0.8690760584
724	0.869023147
725	0.8689705014
726	0.8689319358
727	0.8688864695
728	0.8688555007
729	0.868820108
730	0.8687623423
731	0.8687149721
732	0.8686578235
733	0.8686318574
734	0.8685744826
735	0.8685092642
736	0.8684771219
737	0.8684385227
738	0.8683820941
739	0.8683320888
740	0.8683051261
741	0.8682634029
742	0.868231343
743	0.8682115195
744	0.8681628757
745	0.8681222611
746	0.8681006298
747	0.8680455478
748	0.8680055231
749	0.8679837128
750	0.8679345749
751	0.8678917454
752	0.8678562136
753	0.8678139632
754	0.8677813672
755	0.8677232108
756	0.867694854
757	0.8676755729
758	0.8676359607
759	0.8675852392
760	0.8675288845
761	0.8675153235
762	0.8674882647
763	0.8673455448
764	0.867316685
765	0.867284661
766	0.8672482754
767	0.8671969176
768	0.8671714687
769	0.8671419146
770	0.8670992393
771	0.8670668457
772	0.8670433441
773	0.8670062381
774	0.8669858957
775	0.8669379502
776	0.8668769042
777	0.8668506013
778	0.8668180896
779	0.8667977072
780	0.8667625945
781	0.8667415566
782	0.8667086888
783	0.8666575985
784	0.8666325162
785	0.8665937621
786	0.8665612733
787	0.8665139359
788	0.8664864216
789	0.8664640632
790	0.8664117109
791	0.8663797154
792	0.8662734545
793	0.8662234058
794	0.8660236466
795	0.8659672932
796	0.8659099288
797	0.8658394745
798	0.8657999048
799	0.8657641436
800	0.8657526684
801	0.8657241792
802	0.8656983528
803	0.865663518
804	0.8656408721
805	0.8656063184
806	0.8655916138
807	0.8655618491
808	0.8655388693
809	0.8655010613
810	0.8654447306
811	0.8653859748
812	0.8653606527
813	0.865265138
814	0.8652206335
815	0.865191738
816	0.8651560823
817	0.8651454746
818	0.8651022539
819	0.8650833279
820	0.8649886805
821	0.864958522
822	0.864942421
823	0.8649034571
824	0.8648808653
825	0.864864184
826	0.8648342619
827	0.8648152775
828	0.8647543369
829	0.8647289011
830	0.864683967
831	0.8646609091
832	0.8646418603
833	0.8646210962
834	0.8645883266
835	0.8645610206
836	0.8645175738
837	0.8645005145
838	0.8644554291
839	0.8644472369
840	0.8644231178
841	0.8644027001
842	0.8643804728
843	0.8643713488
844	0.8643297977
845	0.8642365989
846	0.8642327304
847	0.86418722
848	0.8641454498
849	0.8641272464
850	0.8641017171
851	0.8640840466
852	0.8640667124
853	0.8640480679
854	0.8640152453
855	0.8639927966
856	0.8639574743
857	0.8639282711
858	0.8638924675
859	0.8638585213
860	0.8638443786
861	0.8638365576
862	0.8638096848
863	0.8637965105
864	0.8637712354
865	0.8637480817
866	0.8637383752
867	0.8636760798
868	0.8636717725
869	0.8636540716
870	0.8636063795
871	0.8635587116
872	0.8635393536
873	0.8635278122
874	0.8635003804
875	0.8634734061
876	0.8633955652
877	0.8633490193
878	0.8633126824
879	0.8632943997
880	0.8632689101
881	0.8631994471
882	0.8631974277
883	0.8631517457
884	0.8631440243
885	0.8631225443
886	0.8631026574
887	0.8630682609
888	0.8630418101
889	0.8630310204
890	0.8629961614
891	0.8629708207
892	0.8629391063
893	0.8629100378
894	0.8628838474
895	0.8628745134
896	0.8628469754
897	0.8628177924
898	0.8627650713
899	0.8627334704
900	0.8627325355
901	0.8626265452
902	0.8625675036
903	0.8625229616
904	0.8624753085
905	0.8624424764
906	0.8624262423
907	0.8623726708
908	0.8623261591
909	0.8622951695
910	0.8622639205
911	0.8622487664
912	0.8621886275
913	0.8621612941
914	0.8621164552
915	0.8620684446
916	0.8619628243
917	0.8619176018
918	0.861896219
919	0.8618697547
920	0.8618461732
921	0.8617884794
922	0.8617625583
923	0.8617062863
924	0.861619553
925	0.8615673596
926	0.8615236834
927	0.8614918378
928	0.8614440777
929	0.8614289448
930	0.8614018829
931	0.8613879895
932	0.8613627437
933	0.8613613356
934	0.8613272768
935	0.8613153918
936	0.8612946381
937	0.8612728506
938	0.8612504384
939	0.8611787051
940	0.8611604708
941	0.8611359296
942	0.8611079836
943	0.8610779433
944	0.8610465388
945	0.8610024171
946	0.8609594078
947	0.8609298574
948	0.8608993636
949	0.8608692003
950	0.8608463689
951	0.860828932
952	0.8608019351
953	0.8607768964
954	0.8607495049
955	0.860716242
956	0.8606727589
957	0.8606628029
958	0.8606026296
959	0.8605521619
960	0.860511492
961	0.8604604016
962	0.860372573
963	0.860318507
964	0.8602889185
965	0.8602631763
966	0.860248201
967	0.8602179438
968	0.8601873649
969	0.8601708641
970	0.8601295956
971	0.860105091
972	0.8600755651
973	0.8600640018
974	0.8600572444
975	0.8600471593
976	0.860025945
977	0.8600114986
978	0.860001682
979	0.8599531142
980	0.8599083704
981	0.8598865651
982	0.8598237768
983	0.8597797393
984	0.85975161
985	0.8597271744
986	0.859686219
987	0.8596544767
988	0.8596296027
989	0.8595567452
990	0.8595416257
991	0.8595075355
992	0.8594613722
993	0.8593410956
994	0.8593019964
995	0.8592785676
996	0.8592461624
997	0.8591953976
998	0.8591703281
999	0.8591525406
